variable,dtype,null_count,null_rate,unique_count
id_estudiante,str,0,0.0,387
id_periodo,str,0,0.0,7
programa,str,0,0.0,4
cohorte,int64,0,0.0,5
promedio_general,float64,0,0.0,796
promedio_periodo,float64,97,0.0759592795614722,560
materias_aprobadas,int64,0,0.0,10
materias_reprobadas,int64,0,0.0,8
materias_en_curso,int64,0,0.0,4
creditos_acumulados,float64,0,0.0,52
porcentaje_avance,float64,0,0.0,165
porcentaje_asistencia,float64,0,0.0,1056
faltas,int64,0,0.0,25
retardos,int64,0,0.0,7
num_tutorias,int64,0,0.0,8
num_asesorias,int64,0,0.0,9
num_incidencias,int64,0,0.0,5
num_permisos,int64,0,0.0,8
recursamientos,int64,0,0.0,4
rezago_materias,int64,0,0.0,9
estatus_academico,str,0,0.0,4
creditos_inscritos_periodo,float64,0,0.0,25
creditos_aprobados_periodo,float64,0,0.0,24
creditos_totales_plan,int64,0,0.0,4
periodos_cursados,int64,0,0.0,7
periodos_sin_inscripcion,int64,0,0.0,9
materias_reprobadas_periodo,int64,0,0.0,5
materias_reprobadas_acumuladas,int64,0,0.0,8
materias_en_curso_periodo,int64,0,0.0,4
tendencia_promedio,float64,97,0.0759592795614722,618
varianza_calificaciones,float64,0,0.0,778
tutorias_abiertas,int64,0,0.0,7
tutorias_cerradas,int64,0,0.0,4
compromisos_pendientes,int64,0,0.0,7
compromisos_cumplidos,int64,0,0.0,5
permisos_aprobados,int64,0,0.0,6
permisos_rechazados,int64,0,0.0,4
bandera_dato_incompleto,int64,0,0.0,2
